   time,     x1,     y1,     z1,   alt1,     x2,     y2,     z2,   alt2,  horiz,   vert,  slant,  angle,    density1,    density2,     rhor
      0,      0,  10000, 100000, 100000,  20000,  10000, 150000, 150000,  20000,  50000,  53852,  68.20,  1.5481e-05,  1.6338e-07,   5.4038
      1,    100,   9800,  99984,  99984,  20100,   9900, 149984, 149984,  20000,  50000,  53852,  68.20,  1.5504e-05,  1.6365e-07,   5.4120
      2,    200,   9600,  99936,  99936,  20200,   9800, 149936, 149936,  20000,  50000,  53852,  68.20,  1.5575e-05,  1.6446e-07,   5.4364
      3,    300,   9400,  99855,  99855,  20300,   9700, 149855, 149855,  20000,  50000,  53852,  68.20,  1.5693e-05,  1.6582e-07,   5.4772
      4,    400,   9200,  99743,  99743,  20400,   9600, 149743, 149743,  20000,  50000,  53853,  68.19,  1.5861e-05,  1.6774e-07,   5.5342
      5,    500,   9000,  99598,  99598,  20500,   9500, 149598, 149598,  20000,  50000,  53854,  68.19,  1.6079e-05,  1.7024e-07,   5.6097
      6,    600,   8800,  99421,  99421,  20600,   9400, 149421, 149421,  20000,  50000,  53855,  68.19,  1.6349e-05,  1.7333e-07,   5.7021
      7,    700,   8600,  99212,  99212,  20700,   9300, 149212, 149212,  20000,  50000,  53856,  68.19,  1.6675e-05,  1.7706e-07,   5.8146
      8,    800,   8400,  98971,  98971,  20800,   9200, 148971, 148971,  20000,  50000,  53858,  68.18,  1.7059e-05,  1.8145e-07,   5.9464
      9,    900,   8200,  98698,  98698,  20900,   9100, 148698, 148698,  20000,  50000,  53859,  68.18,  1.7505e-05,  1.8654e-07,   6.0992
     10,   1000,   8000,  98392,  98392,  21000,   9000, 148392, 148392,  20000,  50000,  53861,  68.17,  1.7994e-05,  1.9239e-07,   6.2749
     11,   1100,   7800,  98055,  98055,  21100,   8900, 148055, 148055,  20000,  50000,  53863,  68.17,  1.8309e-05,  1.9905e-07,   6.4739
     12,   1200,   7600,  97685,  97685,  21200,   8800, 147685, 147685,  20000,  50000,  53865,  68.16,  1.8633e-05,  2.0658e-07,   6.6957
     13,   1300,   7400,  97283,  97283,  21300,   8700, 147283, 147283,  20000,  50000,  53867,  68.16,  1.8991e-05,  2.1506e-07,   6.9412
     14,   1400,   7200,  96849,  96849,  21400,   8600, 146849, 146849,  20000,  50000,  53870,  68.15,  1.9385e-05,  2.2458e-07,   7.2113
     15,   1500,   7000,  96383,  96383,  21500,   8500, 146383, 146383,  20000,  50000,  53873,  68.14,  1.9818e-05,  2.3522e-07,   7.5078
     16,   1600,   6800,  95885,  95885,  21600,   8400, 145885, 145885,  20000,  50000,  53875,  68.14,  2.0293e-05,  2.4711e-07,   7.8319
