OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C,1999-025A,2021-02-09T20:25:00.078240,14.16084110,.0013035,99.0622,61.4692,53.9268,71.3965,0,U,25730,999,12103,.27704E-3,.502E-5,0
FENGYUN 1C DEB,1999-025X,2021-02-09T19:18:44.078112,12.92112049,.0582581,99.2279,351.3816,301.1671,84.8715,0,U,29733,999,66275,-.50003E-3,-.327E-5,0
FENGYUN 1C DEB,1999-025Y,2021-02-09T12:46:51.044736,12.84220470,.0627624,99.1564,251.8561,73.7917,310.6931,0,U,29734,999,65817,.13153E-2,.715E-5,0
FENGYUN 1C DEB,1999-025Z,2021-02-09T11:58:24.686112,12.68170807,.07214,99.3635,241.5167,102.9800,265.2793,0,U,29735,999,64969,.91505E-3,.475E-5,0
FENGYUN 1C DEB,1999-025AA,2021-02-09T09:09:43.858368,12.54389917,.0730909,99.4373,177.3764,13.5197,46.8732,0,U,29736,999,64364,.43332E-3,.158E-5,0
FENGYUN 1C DEB,1999-025AB,2021-02-08T14:27:12.467232,12.60090574,.0726605,99.5796,274.0144,343.3308,40.4130,0,U,29737,999,64561,.12862E-2,.582E-5,0
FENGYUN 1C DEB,1999-025AC,2021-02-09T13:09:45.485568,12.51161502,.0873802,99.4329,160.8970,128.3904,239.8997,0,U,29738,999,64050,-.94791E-3,-.635E-5,0
FENGYUN 1C DEB,1999-025AE,2021-02-09T10:16:02.438400,12.03477688,.1006055,99.0393,20.3786,105.1826,266.2591,0,U,29740,999,61642,.23722E-2,.901E-5,0
FENGYUN 1C DEB,1999-025AF,2021-02-09T11:24:27.554688,11.96287492,.1028664,99.1776,40.8606,272.6341,253.2650,0,U,29741,999,31018,.11653E-3,.1E-6,0
FENGYUN 1C DEB,1999-025AL,2021-02-09T18:07:36.730272,12.37950187,.0919825,99.5955,15.8982,146.2865,220.0349,0,U,29746,999,60587,.25478E-1,.14656E-3,0
FENGYUN 1C DEB,1999-025AN,2021-02-08T17:09:20.219904,11.59990880,.095085,100.5169,44.6753,295.0269,55.4992,0,U,29748,999,58021,.14707E-1,.2235E-4,0
FENGYUN 1C DEB,1999-025AQ,2021-02-09T09:05:47.556960,14.07733254,.0035728,98.9686,79.8384,232.8766,138.3132,0,U,29750,999,72195,.11739E-3,.155E-5,0
FENGYUN 1C DEB,1999-025AR,2021-02-09T13:59:01.605408,14.21855449,.0090755,98.7575,80.3211,221.0520,292.1631,0,U,29751,999,72949,.38555E-4,.44E-6,0
FENGYUN 1C DEB,1999-025AT,2021-02-09T06:45:47.649600,14.54859726,.0059953,98.8722,302.4533,302.6118,56.9298,0,U,29753,999,73861,.40558E-3,.1729E-4,0
FENGYUN 1C DEB,1999-025AU,2021-02-09T13:03:17.087328,14.11642598,.0040329,98.8947,132.4484,214.0973,157.9323,0,U,29754,999,72375,.26991E-3,.45E-5,0
FENGYUN 1C DEB,1999-025AW,2021-02-09T10:51:30.445344,14.45430875,.0048825,99.2454,100.0532,211.1950,148.6339,0,U,29756,999,73638,.33267E-3,.1135E-4,0
FENGYUN 1C DEB,1999-025AY,2021-02-09T11:02:47.050656,14.18107192,.0028724,98.8884,116.9460,30.3271,341.1168,0,U,29758,999,72494,.36743E-3,.712E-5,0
FENGYUN 1C DEB,1999-025BA,2021-02-09T12:41:49.325568,14.06676282,.0134425,98.8471,69.7481,109.3919,252.1835,0,U,29760,999,72238,-.1293E-4,-.65E-6,0
FENGYUN 1C DEB,1999-025BC,2021-02-09T12:45:37.620288,14.19292708,.0213727,98.5300,63.3260,61.8548,88.2205,0,U,29762,999,72860,.55128E-4,.102E-5,0
FENGYUN 1C DEB,1999-025BD,2021-02-09T12:25:51.496896,14.06118340,.0131441,98.7062,64.7808,124.2422,30.4861,0,U,29763,999,72203,.21757E-3,.346E-5,0
FENGYUN 1C DEB,1999-025BF,2021-02-09T08:44:19.358016,14.01609932,.0057331,99.0182,76.9851,327.0575,99.4797,0,U,29765,999,71989,-.84063E-4,-.174E-5,0
FENGYUN 1C DEB,1999-025BG,2021-02-09T14:38:47.023008,13.89479021,.015967,98.6542,88.5390,121.5097,29.3842,0,U,29766,999,71216,.2934E-3,.359E-5,0
