OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-2  (PRN 13),1997-035A,2021-02-08T06:26:24.992448,2.00562413,.0047267,55.4664,174.9507,57.5883,302.8237,0,U,24876,999,17274,0,-.6E-7,0
GPS BIIR-4  (PRN 20),2000-025A,2021-02-08T11:10:57.951264,2.00563363,.0058079,53.6808,99.3524,165.4691,318.8823,0,U,26360,999,15206,0,-.42E-6,0
GPS BIIR-5  (PRN 28),2000-040A,2021-02-08T14:18:02.511360,2.00564342,.018198,55.8166,292.8413,282.3854,256.7157,0,U,26407,999,15074,0,-.8E-7,0
GPS BIIR-8  (PRN 16),2003-005A,2021-02-08T10:09:30.616128,2.00566902,.0120075,55.8694,292.6426,36.3805,143.5413,0,U,27663,999,13210,0,-.8E-7,0
GPS BIIR-9  (PRN 21),2003-010A,2021-02-08T14:58:57.819648,2.00557832,.0244341,54.7821,43.3622,291.3113,247.9230,0,U,27704,999,13090,0,-.56E-6,0
GPS BIIR-10 (PRN 22),2003-058A,2021-02-08T11:02:35.532672,2.00570568,.0071496,53.4911,102.0230,299.4873,59.8583,0,U,28129,999,12558,0,-.44E-6,0
GPS BIIR-11 (PRN 19),2004-009A,2021-02-08T04:59:02.312160,2.00570457,.0087869,56.2267,353.4975,102.0986,76.5715,0,U,28190,999,12373,0,-.98E-6,0
GPS BIIR-13 (PRN 02),2004-045A,2021-02-08T01:48:03.032640,2.00571125,.0205808,55.1196,43.3405,271.1772,87.6457,0,U,28474,999,11922,0,-.53E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2021-02-07T16:22:25.411584,2.00579098,.0137755,56.3168,350.9240,269.3878,270.6686,0,U,28874,999,11261,0,-.96E-6,0
GPS BIIRM-2 (PRN 31),2006-042A,2021-02-08T01:13:48.743904,2.00555985,.0099308,54.8004,228.9653,12.6863,354.1706,0,U,29486,999,10521,0,.81E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2021-02-07T23:36:41.576256,2.00577088,.0081011,55.8637,291.5829,66.9204,293.9908,0,U,29601,999,10419,0,-.6E-7,0
GPS BIIRM-4 (PRN 15),2007-047A,2021-02-07T19:16:16.658976,2.00575845,.0128674,53.2151,161.0407,54.7982,306.3627,0,U,32260,999,9763,0,-.24E-6,0
GPS BIIRM-5 (PRN 29),2007-062A,2021-02-08T06:53:43.057824,2.00562454,.001305,56.4198,351.6018,129.3010,352.4528,0,U,32384,999,9630,0,-.98E-6,0
